0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
wine,ham,nachos,tea,croquetas,patè,,,,,,,,,,,,,,,,
water,milk,dough,eggs,cheese,dumplings,spinach,croquetas,ham,cucumbers,bacon,,,,,,,,,,,
water,detergent,salsa,gnocchi,,,,,,,,,,,,,,,,,,
orange,plum,salmon,cashew,pistachios,cheese,tomato,shampoo,conditioner,yogurt,salad,,,,,,,,,,,
coke,coconut juice,cereal,potato,yoghurt,cheese,milk,pizza,sausage,turkey,banana,,,,,,,,,,,
coconut juice,cereal,ketchup,potato,quinoa,milk,cheese,ham,avocado,onion,lemon,,,,,,,,,,,
wine,shampoo,milk,cereal,chips,potato,tangerine,cucumber,carrot,pork,pepper,,,,,,,,,,,
cogollo,caldo,flan,salad,yogurt,pear,apple,paper bag,,,,,,,,,,,,,,
toothpaste,ham,chicken breast,cashew nuts,almond, paper bag,,,,,,,,,,,,,,,,
beer, pineapple,napkins,plastic cups, plastic plates, plastic knife,plastif fork,,,,,,,,,,,,,,,
coke, orange juice,pineapple,apple,grape,limon,cheese,peach,eggs,yogurt,,,,,,,,,,,,
pineapple,fruit juice,olives,nutella,tomato,milk,banana,orange,cucumber,,,,,,,,,,,,,
sauce,,,,,,,,,,,,,,,,,,,,,
mountain dew,beer,,,,,,,,,,,,,,,,,,,,
fruit mix,mango,,,,,,,,,,,,,,,,,,,,
salad,beer,mushroom,cereal,tangerine,soup,potato,kiwi,avocado,limonate,rice,yogurt,fruit,chicken,seeds,honey,pork,beef,olive oil,chocolat,ham,eggs
seeds mix,wine,salmon,water with gas,milka chocolate,pumpkin seeds,,,,,,,,,,,,,,,,
chicken burger,provolone cheese,plastic forks,plastic plates,herb mix,olive oil,plastic glasses,napkins,lime,,,,,,,,,,,,,
black chocolate,spagetti sauce,chicken,tofu,ham,hummus,,,,,,,,,,,,,,,,
potato,pasta,paella,,,,,,,,,,,,,,,,,,,
potato,onion,carrot,,,,,,,,,,,,,,,,,,,
bread,,,,,,,,,,,,,,,,,,,,,
chicken,paella,,,,,,,,,,,,,,,,,,,,
tortilla (wheat),tortilla (corn),,,,,,,,,,,,,,,,,,,,
chicken,mushroom,tortilla,nut,broccoli,bread,,,,,,,,,,,,,,,,
yogurt,bread,ham,pasta,cream,tortilla,cookie,bread,,,,,,,,,,,,,,
paella,chicken,bread,raisins,broccoli,potato,pepper sauce,,,,,,,,,,,,,,,
meat,,,,,,,,,,,,,,,,,,,,,
avocado,eggs,cheese,oats,,,,,,,,,,,,,,,,,,
beer,chips,wine,redbull,,,,,,,,,,,,,,,,,,
chips,beer,,,,,,,,,,,,,,,,,,,,
coca-cola,soap,capers,coconut  milk,chips,cookies,salmon,turkey breast,fruit coctail,salad mix,mushrooms,onion,tomato,grapes,bread,chiken breasts,pork,caneloni,,,,
bread,,,,,,,,,,,,,,,,,,,,,
i1,i2,i3,i4,i5,i6,i7,,,,,,,,,,,,,,,
wheat,soap,snacks,,,,,,,,,,,,,,,,,,,
salad,fruit,,,,,,,,,,,,,,,,,,,,
bread,?snacks,chicken,cheese,nuts,yogurt,fruit,,,,,,,,,,,,,,,
vegetables,sauce,,,,,,,,,,,,,,,,,,,,
ham,cheese,vegetables,,,,,,,,,,,,,,,,,,,
cal?ots,sauce,,,,,,,,,,,,,,,,,,,,
snacks,chocolate,,,,,,,,,,,,,,,,,,,,
snacks,,,,,,,,,,,,,,,,,,,,,
chocolate,breakfast,,,,,,,,,,,,,,,,,,,,
other,,,,,,,,,,,,,,,,,,,,,
vegetables,pasta,bread,wine,water,,,,,,,,,,,,,,,,,
other,,,,,,,,,,,,,,,,,,,,,
fruit,fish,,,,,,,,,,,,,,,,,,,,
egg,fruit,ham,meat,juice,other,,,,,,,,,,,,,,,,
tortilles mexi,patatas cruixe,ondulad pernil,xampinyo net,snack gambes,xocolata b2,x blanca zaps,banana,,,,,,,,,,,,,,
vasos atigua,ceba tub,traingles blat,pa pessic xoco,massa empanada,baguet,,,,,,,,,,,,,,,,
doritos,olivas pimiento seris ,pimiento rojo,lindt excell naranja,"olivas neg s.h, serpis",platano canario ,ruffles ahorro,cacahuetes saladas,,,,,,,,,,,,,,
formatge talls,formatge havar,12 ous grans L,taronja,peix salmo sence,llimona,,,,,,,,,,,,,,,,
lays artesanas,lays offerta,cocktail al horno,varios,varios,bolsa plastico,,,,,,,,,,,,,,,,
doritos offerta,olivas pimiento seris ,atun claro natural,huevos l suelo,lasana espinacas,,,,,,,,,,,,,,,,,
bombon avellana,barritas de muesli,pimiento ecologico,toallita mulit x80,panecillo redondo,champu rizos,gel de bano,aguacate,,,,,,,,,,,,,,
salsas para pasta,tofu natural  ECO,lasana queso,ambientad spray,,,,,,,,,,,,,,,,,,
gel de bano,quiche de puerros,pomelo 1 ud,,,,,,,,,,,,,,,,,,,
vasos aigua,ceba tub,traingles blat,pa s/crosta i,motlle rectang,pa pessic xoco,12 ous grans l,maxi york tall,,,,,,,,,,,,,,
baguet,massa empanada,pa integral 28,cola paquet 2,combinat aper,espinacs picat,bledes porcio,cocacola z,,,,,,,,,,,,,,
formatge sandw,f. talls gouda,patates cruixe,patates fregid,mescla llavors,ama. primavera,pebrot vermell,patata,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
